season,episode,name,description,rating,airdate,link
7,1,Bonnie & Neddy,"The greed of the King of Ooo leads to a crisis in the Candy Kingdom, and (ex-) Princess Bubblegum has to return briefly from exile to deal with it.",7.9,1446418800,http://www.imdb.com//title/tt4388470/?ref_=ttep_ep1
7,2,Varmints,Marceline and Bubblegum rekindle an old friendship while fighting off some varmints.,8.7,1446505200,http://www.imdb.com//title/tt4849092/?ref_=ttep_ep2
7,3,Cherry Cream Soda,The arrival of a visitor causes Cherry Cream Soda's life to fall flat.,7.8,1446591600,http://www.imdb.com//title/tt5179110/?ref_=ttep_ep3
7,4,Mama Said,Finn and Jake's loyalty is questioned when King of Ooo sends the duo on a mission to catch flying mushrooms.,7.7,1446678000,http://www.imdb.com//title/tt5172666/?ref_=ttep_ep4
7,5,Football,"BMO switches places with his reflection, Football.",8.3,1446764400,http://www.imdb.com//title/tt5172664/?ref_=ttep_ep5
7,6,Marceline the Vampire Queen,Finn and Jake hunt a shadowy predator and Marceline asks Princess Bubblegum for a favor.,9.1,1447628400,http://www.imdb.com//title/tt5175672/?ref_=ttep_ep6
7,7,Everything Stays,"As the sun rises on her last day, Marceline recalls her long extraordinary life.",9.5,1447628400,http://www.imdb.com//title/tt5179138/?ref_=ttep_ep7
7,8,Vamps About,Five foes from Marceline's past come back to cause trouble for the land of Ooo.,9.1,1447714800,http://www.imdb.com//title/tt5178356/?ref_=ttep_ep8
7,9,The Empress Eyes,The empress seeks her revenge and uses the Ice King as her puppet. Marceline retaliates and gets her own vengeance.,9.0,1447714800,http://www.imdb.com//title/tt5200472/?ref_=ttep_ep9
7,10,May I Come In?,Add a Plot »,9.2,1447801200,http://www.imdb.com//title/tt5180622/?ref_=ttep_ep10
7,11,Take Her Back,Add a Plot »,9.2,1447801200,http://www.imdb.com//title/tt5202928/?ref_=ttep_ep11
7,12,Checkmate,Add a Plot »,9.3,1447887600,http://www.imdb.com//title/tt5202930/?ref_=ttep_ep12
